Key,Description,en,ja
throttleInteractable_915500,VR Interactable,Throttle,スロットル
ejectInteractable_911648,VR Interactable,Eject,緊急脱出
ButtonText_915708,UI Text,"Recenter
seat","シートを
真ん中に戻す"
ButtonText_913026,UI Text,Restart,リスタート
ButtonText_913894,UI Text,"exit
mission","ミッション
退出"
ButtonText_913940,UI Text,"Quick
save","クイック
セーブ"
ButtonText_915630,UI Text,Load,ロード
ButtonText_913374,UI Text,Save,セーブ
helmVisorInteractable_913784,VR Interactable,Visor,バイザー
helmNVGInteractable_916002,VR Interactable,NVG,暗視装置
PendingText_912704,UI Text,in progress...,
CompleteText_915034,UI Text,COMPLETE,成功
MissionText_913392,UI Text,"MISSION
",ミッション
FailedText_916378,UI Text,FAILED,失敗
Handle_395644,VR Interactable,Scroll,スクロール
Text_913356,UI Text,Restart Mission,ミッションをやり直す
ReturnButton_915862,VR Interactable,Return to Main,メイン画面に戻る
Text_916314,UI Text,Finish Mission,ミッションを終了
ToggleLogButton_915924,VR Interactable,Toggle Flight Log,フライトログ表示切替
Text_915514,UI Text,Show/Hide Flight Log,フライトログ表示切替
ContinueFlightButton_914390,VR Interactable,Continue Flight,フライトを続ける
Quickload_414134,VR Interactable,Quickload,クイックロード
Text_913888,UI Text,Flight log,フライトログ
UpIcon_915836,VR Interactable,Scroll Up,スクロールアップ
DnIcon_916128,VR Interactable,Scroll Down,スクロールダウン
BottomIcon_913766,VR Interactable,To Bottom,末尾へ
SaveToDiskText_912244,VR Interactable,Save Flight Log,ログを保存
completionTimeLabel_-10687514,UI Text,Completion Time:,完了時間:
joyInteractable_915260,VR Interactable,Joystick,ジョイスティック
joyAdjustInteractable_916106,VR Interactable,Adjust Joystick,ジョイスティック位置の調整
AdjLeftButton_916408,VR Interactable,Adjust Left,左へ
AdjRightButton_913538,VR Interactable,Adjust Right,右へ
AdjFwdButton_915546,VR Interactable,Adjust Forward,前へ
AdjBackButton_916410,VR Interactable,Adjust Back,後ろへ
AdjUpButton_912256,VR Interactable,Adjust Up,上へ
AdjDownButton_915128,VR Interactable,Adjust Down,下へ
ToggleAdjustJoyInteractable_911908,VR Interactable,Toggle Auto Adjust,位置の自動調整
Text_915188,UI Text,AUTO,
releaseLabel_912934,UI Text,RELEASE,
loalText_299878,HUD when lock-on-after-launch AGM mode is active,LOAL,
Label_915698,UI Text,SPEED,速度
Label_916182,UI Text,HULL,
