Key,Description,en,ja
DemoText_746066,UI Text,DEMO,デモ
SelectPilotButton_745718,VR Interactable,Select Existing Pilot,パイロット選択
Text_742314,UI Text,Select Pilot,パイロット選択
NewPilotButton_745346,VR Interactable,Create New Pilot,新しいパイロット作成
Text_742072,UI Text,New Pilot,新しいパイロット
QuitButton_740624,VR Interactable,Quit Game,
Text_742474,UI Text,QUIT,終了
SettingsButton_747456,VR Interactable,Settings,設定
Text_740102,UI Text,"Settings
",設定
CreditsButton_-102322,VR Interactable,Game Credits,クレジット
Text_726044,UI Text,Credits,クレジット
VTOL VR (1)_747232,UI Text,VTEDIT,VTEDIT
EditorButton_743918,VR Interactable,Mission Editor,ミッションエディタ
MapEditorButton_747578,VR Interactable,Map Editor,マップエディタ
VTEDIT (1)_729932,UI Text,VT,VT
VTOL VR_744834,UI Text,VTOL VR,VTOL VR
Text_ACReadyToFly,UI Text,Ready to fly?,飛行の準備はできましたか？
Text_AC_SelectVehicle,UI Text,Select Vehicle,機体選択
Text_ACNewPilot,UI Text,New Pilot?,新しいパイロットを作成しますか？
Tutorials Button_-4966024,VR Interactable,Tutorials,チュートリアル
Text_ACTutorial,UI Text,Tutorial,チュートリアル
Label_514208,UI Text,Pilot Name:,パイロット名：
EditNameButton_745868,VR Interactable,Edit Name,名前入力
Text_743158,UI Text,Edit name,名前入力
BackButton_744184,VR Interactable,Back To Main,メイン画面へ
Text_742734,UI Text,Back,戻る
StartButton_745400,VR Interactable,Start New Pilot,新しいパイロットで開始
Text_744692,UI Text,Start,
InvalidName_740436,UI Text,[ Invalid Name ],[無効な名前]
DeleteButton_740016,VR Interactable,Delete Pilot,パイロットを削除
PILOTS_745628,UI Text,Pilots,PILOTS
NextPilotButton_747706,VR Interactable,Next Pilot,次のパイロット
PrevPilotButton_741810,VR Interactable,Previous Pilot,前のパイロット
AreYouSure_743668,UI Text,Are you sure you want to delete?,本当に削除しますか？
Text_740860,UI Text,"Yes, Delete",削除
NoDeleteButton_743870,VR Interactable,Cancel Delete,キャンセル
Text_745554,UI Text,"No, keep",そのまま
PILOTS_740912,UI Text,NO PILOTS,パイロットがいません
PilotName_742564,UI Text,BDynamics,BDynamics
Pilot name_744616,UI Text,Pilot name,パイロット名
EditPilotColorsButton_741944,VR Interactable,Edit Colors,色の変更
WorkshopBrowserButton_747088,VR Interactable,Steam Workshop Browser,Steamワークショップ
Text_509830,UI Text,Steam Workshop,
VEHICLES_747786,UI Text,VEHICLES,機体
Text_743784,UI Text,SELECT VEHICLE,機体の選択
NextVehButton_747140,VR Interactable,Next Vehicle,次の機体
PrevVehButton_746350,VR Interactable,Previous Vehicle,前の機体
NO VEHICLES_740194,UI Text,NO VEHICLES,機体がありません
Title_731538,UI Text,TUTORIALS,チュートリアル
NextButton_-4973280,VR Interactable,Next Tutorial,次のチュートリアル
PrevButton_-4973282,VR Interactable,Previous Tutorial,前のチュートリアル
SelectButton_-645320,VR Interactable,Select Tutorial,チュートリアル選択
Text_-645448,UI Text,Select,選択
