Key,Description,en,ja
Icon_734792,VR Interactable,Show Info,情報表示
Text_734764,UI Text,Info,情報
ButtonUp_734786,VR Interactable,Vote Up,プラス評価
ButtonDown_734790,VR Interactable,Vote Down,マイナス評価
Button_734788,VR Interactable,Favorite,お気に入り
ButtonActive_734758,VR Interactable,Unfavorite,お気に入り取消
Button_734784,VR Interactable,Subscribe & Download,登録＆ダウンロード
Text_734748,UI Text,ADD,追加
ButtonActive_734798,VR Interactable,Remove Subscription,登録解除
Text (1)_734794,UI Text,REMOVE,削除
ButtonPlay_734746,VR Interactable,Play,プレイ
